property_type,places,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,lat,lon
apartment,MiguelHidalgo,"23.634501,-102.552788",5500000.0,MXN,5450245.5,289775.66,54.0,54.0,5366.215925925925,101851.8519,23.634501,-102.552788
house,Iztapalapa,"19.31033,-99.068557",1512000.0,MXN,1498321.97,79661.96,80.0,80.0,995.7745000000001,18900.0,19.31033,-99.068557
apartment,Tlalpan,"19.279771,-99.234597",926667.0,MXN,918284.0,48822.82,100.0,100.0,488.2282,9266.67,19.279771,-99.234597
apartment,MiguelHidalgo,"23.634501,-102.552788",6410000.0,MXN,6352013.39,337720.36,135.0,135.0,2501.6322962962963,47481.48148,23.634501,-102.552788
apartment,MiguelHidalgo,"19.432657,-99.177444",4416000.0,MXN,4376051.62,232663.51,87.0,87.0,2674.2932183908047,50758.62069,19.432657,-99.177444
apartment,BenitoJuarez,"19.367025,-99.170349",3150000.0,MXN,3122244.47,166001.78,100.0,100.0,1660.0178,31500.0,19.367025,-99.170349
house,AlvaroObregon,"19.340909,-99.22511",2086666.0,MXN,2067789.37,109939.09,205.0,205.0,536.288243902439,10178.85854,19.340909,-99.22511
house,GustavoAMadero,"19.509359,-99.093272",1600000.0,MXN,1585525.89,84298.37,144.0,144.0,585.4053472222222,11111.11111,19.509359,-99.093272
house,MiguelHidalgo,"19.432901,-99.213075",4398100.0,MXN,4359347.04,231775.37,304.0,304.0,762.4189802631579,14467.43421,19.432901,-99.213075
apartment,BenitoJuarez,"23.634501,-102.552788",1784569.0,MXN,1768425.2,94022.66,57.0,57.0,1649.520350877193,31308.22807,23.634501,-102.552788
apartment,BenitoJuarez,"19.3794059,-99.1591446",3272300.0,MXN,3243466.76,172446.86,83.0,83.0,2077.6730120481925,39425.3012,19.3794059,-99.1591446
apartment,BenitoJuarez,"19.36269,-99.150565",1260000.0,MXN,1248601.52,66384.96,103.0,103.0,644.5141747572816,12233.00971,19.36269,-99.150565
house,Cuauhtemoc,"19.452952,-99.158166",4888800.0,MXN,4845723.38,257634.76,530.0,530.0,486.103320754717,9224.150943,19.452952,-99.158166
house,AlvaroObregon,"19.342911,-99.224472",706447.0,MXN,700222.21,37229.03,90.0,90.0,413.65588888888885,7849.411111,19.342911,-99.224472
house,GustavoAMadero,"19.491083,-99.07564",2230000.0,MXN,2209826.65,117490.85,120.0,120.0,979.0904166666667,18583.33333,19.491083,-99.07564
apartment,MiguelHidalgo,"19.407269,-99.190754",1016611.0,USD,19120927.99,1016611.0,149.0,149.0,6822.892617,6822.892617,19.407269,-99.190754
apartment,Iztacalco,"19.4024128,-99.0953907",1345000.0,MXN,1333148.73,70880.12,56.0,56.0,1265.716429,24017.85714,19.4024128,-99.0953907
apartment,BenitoJuarez,"19.35782,-99.149406",1295000.0,MXN,1283284.95,68228.99,80.0,80.0,852.862375,16187.5,19.35782,-99.149406
apartment,Azcapotzalco,"19.504985,-99.208557",460000.0,MXN,455838.66,24235.78,60.0,60.0,403.92966666666666,7666.666667,19.504985,-99.208557
apartment,BenitoJuarez,"19.376792,-99.153132",4900000.0,MXN,4855673.26,258163.77,120.0,120.0,2151.3647499999997,40833.33333,19.376792,-99.153132
house,VenustianoCarranza,"19.433895,-99.091159",1700000.0,MXN,1684621.29,89567.02,220.0,220.0,407.1228181818182,7727.272727,19.433895,-99.091159
apartment,Coyoacan,"19.354219,-99.126244",1786800.0,MXN,1770635.95,94140.2,50.0,50.0,1882.8039999999999,35736.0,19.354219,-99.126244
apartment,Cuauhtemoc,"19.439716,-99.152892",662025.0,MXN,656035.96,34879.76,16.0,16.0,2179.985,41376.5625,19.439716,-99.152892
house,GustavoAMadero,"19.543273,-99.148777",706500.0,MXN,700108.79,37223.0,90.0,90.0,413.5888888888889,7850.0,19.543273,-99.148777
house,Tlalpan,"19.2690778853,-99.2035388947",2500000.0,MXN,2477971.72,131747.44,331.0,150.0,398.0285196,16666.66667,19.2690778853,-99.2035388947
apartment,MiguelHidalgo,"19.420166,-99.220367",1750000.0,USD,32914875.0,1750000.0,734.0,734.0,2384.1961852861036,2384.196185,19.420166,-99.220367
apartment,BenitoJuarez,"19.367728,-99.156645",2699000.0,MXN,2674583.93,142200.81,90.0,90.0,1580.009,29988.88889,19.367728,-99.156645
apartment,BenitoJuarez,"19.400785,-99.147419",1450000.0,MXN,1436882.88,76395.4,90.0,90.0,848.8377777777777,16111.11111,19.400785,-99.147419
apartment,MiguelHidalgo,"19.430456,-99.1889121",1125000.0,USD,21159562.5,1125000.0,260.0,260.0,4326.923077,4326.923077,19.430456,-99.1889121
apartment,Tlalpan,"19.2745241,-99.1515694",2809200.0,MXN,2810709.32,149438.25,87.0,87.0,1717.681034,32307.003678160916,19.2745241,-99.1515694
apartment,AlvaroObregon,"19.376482,-99.2587951",4220000.0,MXN,4182816.29,222389.68,80.0,80.0,2779.871,52285.203625,19.376482,-99.2587951
apartment,MiguelHidalgo,"19.407269,-99.190754",947592.0,USD,17822784.13,947592.0,175.0,175.0,5414.811429,101844.48074285714,19.407269,-99.190754
apartment,Iztacalco,"19.395901,-99.097612",2490960.0,MXN,2468426.03,131239.92,254.0,254.0,516.6925984251969,9806.929134,19.395901,-99.097612
apartment,BenitoJuarez,"19.375658,-99.186109",4900000.0,MXN,4855673.26,258163.77,190.0,190.0,1358.7566842105264,25789.47368,19.375658,-99.186109
house,Coyoacan,"19.307427366,-99.1170322895",5800000.0,MXN,5748894.57,305654.07,200.0,263.0,1528.27035,22053.23194,19.307427366,-99.1170322895
apartment,BenitoJuarez,"19.39177,-99.159996",1771066.0,MXN,1755044.45,93311.24,114.0,114.0,818.5196491228071,15535.66667,19.39177,-99.159996
